2024-02-01 16:02:968 INFO  HomePage :60 - Clicking on header Online Bingo : [[[ChromeDriver: chrome on windows (689996278863192fdcfd7d7f8fca76c8)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (689996278863192fdcfd7d7f8fca76c8)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (689996278863192fdcfd7d7f8fca76c8)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (689996278863192fdcfd7d7f8fca76c8)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (689996278863192fdcfd7d7f8fca76c8)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (689996278863192fdcfd7d7f8fca76c8)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (689996278863192fdcfd7d7f8fca76c8)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (689996278863192fdcfd7d7f8fca76c8)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (689996278863192fdcfd7d7f8fca76c8)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 16:02:977 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:777 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:870 INFO  HomePage :53 - Clicking accept cookies: [[ChromeDriver: chrome on windows (b707488777660d8337feb0b18eee45bc)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:936 INFO  HomePage :67 - Verifying Virgin Games Logo : [[ChromeDriver: chrome on windows (b707488777660d8337feb0b18eee45bc)] -> xpath: //img[@alt='Virgin Games']]
2024-02-01 16:02:659 INFO  HomePage :60 - Clicking on header Free Games : [[[ChromeDriver: chrome on windows (b707488777660d8337feb0b18eee45bc)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (b707488777660d8337feb0b18eee45bc)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (b707488777660d8337feb0b18eee45bc)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (b707488777660d8337feb0b18eee45bc)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (b707488777660d8337feb0b18eee45bc)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (b707488777660d8337feb0b18eee45bc)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (b707488777660d8337feb0b18eee45bc)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (b707488777660d8337feb0b18eee45bc)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (b707488777660d8337feb0b18eee45bc)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 16:02:675 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:662 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:845 INFO  HomePage :53 - Clicking accept cookies: [[ChromeDriver: chrome on windows (63a1058f0750b99cb1afba6e458deb20)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:929 INFO  HomePage :67 - Verifying Virgin Games Logo : [[ChromeDriver: chrome on windows (63a1058f0750b99cb1afba6e458deb20)] -> xpath: //img[@alt='Virgin Games']]
